Compound	Tv26173F	Tv26173G	Tv26193F	Tv26193G	Tv2643F	Tv2643G	Tv2644F	Tv2644G	Tv2645F	Tv2645G	Tv927F	Tv927G	Tv928F	Tv928G	Tv932F	Tv932G	Tv935F	Tv935G	Tv941F	Tv941G	Tv1847F	Tv1847G	Tv185F	Tv185G	Tv186F	Tv186G	Tv2613F	Tv2613G	Tv2626F	Tv2626G	Tv264F	Tv264G	Tv266F	Tv266G	Tv964F	Tv964G	Tv966F	Tv966G	Tv976F	Tv976G	Tv977F	Tv977G	Tv1822F	Tv1822G	Tv1824F	Tv1824G	Tv1845F	Tv1845G	Tv1860F	Tv1860G	Tv1881F	Tv1881G	Tv26152F	Tv26152G	Tv26153F	Tv26153G	Tv26165F	Tv26165G
santolina_triene	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169881835	0	0	0	0.111423834	0.08411806	0	0	0	0.173449324	0	0	0.324346349	0.111494418	0.178551538	0	0	0	0.650796646	0	45.52892283	27.24553084	39.77072682	38.03500793	31.45353143	16.03569096	29.72251629	6.589579688	20.0412119	4.262253587	14.84729093	1.453329231	7.969955731	9.507397967	17.20549369	3.67804489
trans_Sabinol	0	0.22177823	0.298155545	0.227803145	0.46307023	0.260263491	0.597472142	0.242169605	0.593630598	0.354096021	2.161442138	0.649187967	0.615238257	0.383294956	0.692764619	0.351115755	2.53364647	0.968291849	0.766314429	0.575715159	0	0	0	0	0	0	0.12513766	0.232385911	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463308716	0	0	0	0	0	0	0	0	0.505084609	0	0	0.354960246	0	0.233116665	0	0
umbellulone	0	0	0	0	0	0	0	0	5.670864831	1.430833053	7.579001822	3.079012007	4.449539375	2.377687933	7.130276892	3.392220824	0	0	7.241332986	5.5625011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unknown_monoterpene_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.159820386	0.568147496	1.045943204	0.639681444	0.684739827	0.470582609	1.224096771	0.790438457	1.636858247	1.137749438	3.052927507	1.132721119	1.703305215	1.021653249	3.366891923
unknown_monoterpene_4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.543681115	0.284491453	2.914772389	0.212253399	13.12868525	0.828648793	7.171175181	0.745247336	3.832683171	0.655116048	9.2196293	0.511947756	2.698951495	0.527101992	9.252447461	0.519514709	5.738207302	0	6.507532595	1.190796116	5.824662869	0.870427445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unknown_monoterpene_5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.044922916	3.984056989	3.106991574	2.345440913	2.716685024	6.018415683	5.968926989	9.407056254	5.382213379	9.839196175	7.565122645	4.682107907	6.951428267	14.08678617	8.974486544	11.40630158
unknown_monoterpene_9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.213474571	1.678059983	2.472669427	2.510677876	4.338649643	5.574465314	3.11776781	3.6009617	3.12019548	5.243098911	7.630336841	12.70016024	3.862856964	3.29670083	3.776412616	6.699406793
unknown_terpineol_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.075071209	4.470993005	2.388659658	3.790955688	5.614931705	8.247404105	2.748477028	3.185268194	4.143973723	3.444383645	2.180587138	1.97924116	1.423651109	3.645767943	2.846717418	3.035666607
Yomogi_alcohol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.462452612	2.860388655	1.505959045	2.016040482	1.771325579	2.1764974	1.694561848	1.696127079	1.828271866	2.292867262	1.900949501	1.636460257	1.881474697	2.200021089	1.259612313	1.737589944	1.486141674	1.919249331	1.917082597	2.5856831	1.408505797	1.901176511	1.00462823	0.709367957	0.921619561	0.88120008	0.825842768	0.834917262	1.138711751	0.954693003	1.006025312	1.28714024	1.509545603	1.853108838	1.235329431	1.09948974	1.350778848	1.762595241
Z_myroxide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.28810801	25.72526063	23.28248719	21.7444515	40.24684929	37.96067799	19.6539949	28.57365512	19.03340766	29.2318184	27.84109407	25.19326245	27.32193626	33.29857802	23.25592427	26.2712172
